product_id,product_title,rating,total_reviews,price,top_reviews
itm1df5212efb9fc,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,4.4,"1,570","₹49,790","Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/5... more || Battery too good, It Feels Premium, If you are looking for it jus... more"
itm991fff3486d7e,HP Omnibook 3 AMD Ryzen AI 5 Hexa Core 340 - (16 GB/512 GB SSD/Windows 11 Home) 15-fn0007AU Thin and L...,4.6,0,"₹58,990",HP Omnibook 3 AMD Ryzen AI 5 Hexa Core 340 - (16 GB/512 GB SSD/Wi... more
